Tweet;Sentimen;step01;tokens;step02;ProcessedText
Skrinews - Pdt. JIMMY: MARI BERSAMA MEMERANGI VIRUS CORONA (COVID-19) DEMI MENJAGA TANAH PAPUA;1.0;skrinews pdt allcaps jimmy allcaps allcaps mari bersama memerangi virus corona allcaps allcaps covid allcaps number allcaps demi menjaga tanah papua allcaps;['skrinews', 'pdt', 'allcaps', 'jimmy', 'allcaps', 'allcaps', 'mari', 'memerangi', 'virus', 'corona', 'allcaps', 'allcaps', 'covid', 'allcaps', 'number', 'allcaps', 'menjaga', 'tanah', 'papua', 'allcaps'];skrinews pdt allcaps jimmy allcaps allcaps mari memerangi virus corona allcaps allcaps covid allcaps number allcaps menjaga tanah papua allcaps;skrinews pdt allcaps jimmy allcaps allcaps mari rang virus corona allcaps allcaps covid allcaps number allcaps jaga tanah papua allcaps
Ada 15 cara menyuruh Covid-19 segera pergi, Jaga kebersihan dan ketertiban. Bukankah Covid-19 telah mendidik kita agar selalu menjaga kebersihan badan, pakaian, barang dan lingkungan dengan rajin mandi, mencuci tangan, dan tidak sembarangan membuang sampah?;1.0;ada number cara menyuruh covid number segera pergi jaga kebersihan dan ketertiban bukankah covid number telah mendidik kita agar selalu menjaga kebersihan badan pakaian barang dan lingkungan dengan rajin mandi mencuci tangan dan tidak sembarangan membuang sampah;['number', 'menyuruh', 'covid', 'number', 'pergi', 'jaga', 'kebersihan', 'ketertiban', 'covid', 'number', 'mendidik', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'lingkungan', 'rajin', 'mandi', 'mencuci', 'tangan', 'sembarangan', 'membuang', 'sampah'];number menyuruh covid number pergi jaga kebersihan ketertiban covid number mendidik menjaga kebersihan badan pakaian barang lingkungan rajin mandi mencuci tangan sembarangan membuang sampah;number suruh covid number pergi jaga bersih tertib covid number didik jaga bersih badan pakai barang lingkung rajin mandi cuci tangan sembarang buang sampah
Kementerian Agama Provinsi Papua Barat, Azis Hegemur mengatakan, Umat Islam di Provinsi Papua Barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit Covid-19. OPM;1.0;kementerian agama provinsi papua barat azis hegemur mengatakan umat islam di provinsi papua barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit covid number allcaps opm allcaps;['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'umat', 'islam', 'provinsi', 'papua', 'barat', 'diimbau', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'number', 'allcaps', 'opm', 'allcaps'];kementerian agama provinsi papua barat azis hegemur umat islam provinsi papua barat diimbau menolak pemakaman jenazah pasien positif terjangkit covid number allcaps opm allcaps;menteri agama provinsi papua barat azis hegemur umat islam provinsi papua barat imbau tolak makam jenazah pasien positif jangkit covid number allcaps opm allcaps
Aku baru bangun tidur, dan menyeruput kopi sedikit. Ketika ibuk mencak2 gak karuan. Satu orang pahlawan garis depan Covid-19 meninggal dunia dan ditolak warga setempat. Mungkin lebih tepatnya sekolompok warga yang kurang edukasi.;1.0;aku baru bangun tidur dan menyeruput kopi sedikit ketika ibuk mencak gak karuan satu orang pahlawan garis depan covid number meninggal dunia dan ditolak warga setempat mungkin lebih tepatnya sekolompok warga yang kurang edukasi;['bangun', 'tidur', 'menyeruput', 'kopi', 'ibuk', 'mencak', 'gak', 'karuan', 'orang', 'pahlawan', 'garis', 'covid', 'number', 'meninggal', 'dunia', 'ditolak', 'warga', 'tepatnya', 'sekolompok', 'warga', 'edukasi'];bangun tidur menyeruput kopi ibuk mencak gak karuan orang pahlawan garis covid number meninggal dunia ditolak warga tepatnya sekolompok warga edukasi;bangun tidur seruput kopi ibuk mencak gak karuan orang pahlawan garis covid number tinggal dunia tolak warga tepat sekolompok warga edukasi
Jangan mudik dong! Ancaman penyebaran COVID-19 yang lebih luas. - Tandatangani Petisi! via;1.0;jangan mudik dong ancaman penyebaran allcaps covid allcaps number yang lebih luas tandatangani petisi via;['mudik', 'ancaman', 'penyebaran', 'allcaps', 'covid', 'allcaps', 'number', 'luas', 'tandatangani', 'petisi', 'via'];mudik ancaman penyebaran allcaps covid allcaps number luas tandatangani petisi via;mudik ancam sebar allcaps covid allcaps number luas tandatangani petisi via
Berita seperti ini tidak akan ditengok oleh Muflis DUNGU Kecuali berita HOAX macam kudeta MBS, 150 pangeran kena COVID-19 yg sumbernya sama dari kaum LIBERAL;-1.0;berita seperti ini tidak akan ditengok oleh muflis allcaps dungu allcaps kecuali berita allcaps hoax allcaps macam kudeta allcaps mbs allcaps number pangeran kena allcaps covid allcaps number yg sumbernya sama dari kaum allcaps liberal allcaps;['berita', 'ditengok', 'muflis', 'allcaps', 'dungu', 'allcaps', 'kecuali', 'berita', 'allcaps', 'hoax', 'allcaps', 'kudeta', 'allcaps', 'mbs', 'allcaps', 'number', 'pangeran', 'kena', 'allcaps', 'covid', 'allcaps', 'number', 'yg', 'sumbernya', 'kaum', 'allcaps', 'liberal', 'allcaps'];berita ditengok muflis allcaps dungu allcaps kecuali berita allcaps hoax allcaps kudeta allcaps mbs allcaps number pangeran kena allcaps covid allcaps number yg sumbernya kaum allcaps liberal allcaps;berita tengok muflis allcaps dungu allcaps kecuali berita allcaps hoax allcaps kudeta allcaps mbs allcaps number pangeran kena allcaps covid allcaps number yg sumber kaum allcaps liberal allcaps
Giat Bhabinkamtibmas Polsek Tamalatea bersama Aparatur Desa Kareloe dan Relawan melakukan penyemprotan Disinfektan untuk mencegah penyebaran Virus Covid-19;1.0;giat bhabinkamtibmas polsek tamalatea bersama aparatur desa kareloe dan relawan melakukan penyemprotan disinfektan untuk mencegah penyebaran virus covid number;['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'aparatur', 'desa', 'kareloe', 'relawan', 'penyemprotan', 'disinfektan', 'mencegah', 'penyebaran', 'virus', 'covid', 'number'];giat bhabinkamtibmas polsek tamalatea aparatur desa kareloe relawan penyemprotan disinfektan mencegah penyebaran virus covid number;giat bhabinkamtibmas polsek tamalatea aparatur desa kareloe rawan semprot disinfektan cegah sebar virus covid number
Temanggung, Jawa Tengah...anggota gugus tugas covid 19 kelurahan mungseng, temanggung...mau tak bagiin di posko...;-1.0;temanggung jawa tengah repeated anggota gugus tugas covid number kelurahan mungseng temanggung repeated mau tak bagiin di posko repeated;['temanggung', 'jawa', 'repeated', 'anggota', 'gugus', 'tugas', 'covid', 'number', 'kelurahan', 'mungseng', 'temanggung', 'repeated', 'bagiin', 'posko', 'repeated'];temanggung jawa repeated anggota gugus tugas covid number kelurahan mungseng temanggung repeated bagiin posko repeated;tanggung jawa repeated anggota gugus tugas covid number lurah mungseng tanggung repeated bagiin posko repeated
Profil Operasional Bandara AP II di Tengah Pandemi COVID-19;0.0;profil operasional bandara allcaps ap ii allcaps di tengah pandemi allcaps covid allcaps number;['profil', 'operasional', 'bandara', 'allcaps', 'ap', 'ii', 'allcaps', 'pandemi', 'allcaps', 'covid', 'allcaps', 'number'];profil operasional bandara allcaps ap ii allcaps pandemi allcaps covid allcaps number;profil operasional bandara allcaps ap ii allcaps pandemi allcaps covid allcaps number
Btw long weekend ni pada mau kemana... Dulu sebelum ada nya si covid 19 ini long weekend itu yang paling di nanti .., eh skrng mah beneran panjang libur nya di kasih enak dirumah malah ngedumel bae (DASAR AKU);0.0;btw long weekend ni pada mau kemana repeated dulu sebelum ada nya si covid number ini long weekend itu yang paling di nanti repeated eh skrng mah beneran panjang libur nya di kasih enak dirumah malah ngedumel bae allcaps dasar aku allcaps;['btw', 'long', 'weekend', 'ni', 'kemana', 'repeated', 'nya', 'si', 'covid', 'number', 'long', 'weekend', 'repeated', 'eh', 'skrng', 'mah', 'beneran', 'libur', 'nya', 'kasih', 'enak', 'dirumah', 'ngedumel', 'bae', 'allcaps', 'dasar', 'allcaps'];btw long weekend ni kemana repeated nya si covid number long weekend repeated eh skrng mah beneran libur nya kasih enak dirumah ngedumel bae allcaps dasar allcaps;btw long weekend ni mana repeated nya si covid number long weekend repeated eh skrng mah beneran libur nya kasih enak rumah ngedumel bae allcaps dasar allcaps
Hallo dan mau laporkan adanya kegiatan yang melanggar ketentuan tentang jaga jarak selama wabah covid-19 kemana ya?;1.0;hallo dan mau laporkan adanya kegiatan yang melanggar ketentuan tentang jaga jarak selama wabah covid number kemana ya;['hallo', 'laporkan', 'kegiatan', 'melanggar', 'ketentuan', 'jaga', 'jarak', 'wabah', 'covid', 'number', 'kemana', 'ya'];hallo laporkan kegiatan melanggar ketentuan jaga jarak wabah covid number kemana ya;hallo lapor giat langgar tentu jaga jarak wabah covid number mana ya
Hei guys, gw mau ngajak kalian untuk agar pandemik covid-19 ini lekas hilang. Aamiin.Gimana?? Kurangin dah tuh nongki2, halan2, atau segala aktivitas diluar ruangan. Yuk belajar utbk aja, tau sendirikan pesaing lo tuh buanyak banget. Yok ;1.0;hei guys gw mau ngajak kalian untuk agar pandemik covid number ini lekas hilang aamiin gimana repeated kurangin dah tuh nongki halan atau segala aktivitas diluar ruangan yuk belajar utbk aja tau sendirikan pesaing lo tuh buanyak banget yok;['hei', 'guys', 'gw', 'ngajak', 'pandemik', 'covid', 'number', 'lekas', 'hilang', 'aamiin', 'gimana', 'repeated', 'kurangin', 'dah', 'tuh', 'nongki', 'halan', 'aktivitas', 'diluar', 'ruangan', 'yuk', 'belajar', 'utbk', 'aja', 'tau', 'sendirikan', 'pesaing', 'lo', 'tuh', 'buanyak', 'banget', 'yok'];hei guys gw ngajak pandemik covid number lekas hilang aamiin gimana repeated kurangin dah tuh nongki halan aktivitas diluar ruangan yuk belajar utbk aja tau sendirikan pesaing lo tuh buanyak banget yok;hei guys gw ngajak pandemik covid number lekas hilang aamiin gimana repeated rangin dah tuh nongki hal aktivitas luar ruang yuk ajar utbk aja tau sendiri saing lo tuh buanyak banget yok
JANGAN ADA DUSTA DIANTARA KITA: Kisah Pilu Dokter Menangani Pasien Yang Ternyata Positif Covid-19;1.0;allcaps jangan ada dusta diantara kita allcaps kisah pilu dokter menangani pasien yang ternyata positif covid number;['allcaps', 'dusta', 'allcaps', 'kisah', 'pilu', 'dokter', 'menangani', 'pasien', 'positif', 'covid', 'number'];allcaps dusta allcaps kisah pilu dokter menangani pasien positif covid number;allcaps dusta allcaps kisah pilu dokter tangan pasien positif covid number
COVID-19 Telah Bermutasi? Ada Gelombang Kedua Virus Corona;-1.0;allcaps covid allcaps number telah bermutasi ada gelombang kedua virus corona;['allcaps', 'covid', 'allcaps', 'number', 'bermutasi', 'gelombang', 'virus', 'corona'];allcaps covid allcaps number bermutasi gelombang virus corona;allcaps covid allcaps number mutasi gelombang virus corona
Salam Jumaat.. Ya Allah kami menadah tangan minta keampunan pada mu dan berserah diri dengan mu dan berilah kekuatan dan kesihatan yang baik.. Jauhilah kami dari segala penyakit berjangkit covid 19 dan hamba mu yang sedang berjuang kesakitan yang berada di hospital..;1.0;salam jumaat repeated ya allah kami menadah tangan minta keampunan pada mu dan berserah diri dengan mu dan berilah kekuatan dan kesihatan yang baik repeated jauhilah kami dari segala penyakit berjangkit covid number dan hamba mu yang sedang berjuang kesakitan yang berada di hospital repeated;['salam', 'jumaat', 'repeated', 'ya', 'allah', 'menadah', 'tangan', 'keampunan', 'mu', 'berserah', 'mu', 'berilah', 'kekuatan', 'kesihatan', 'repeated', 'jauhilah', 'penyakit', 'berjangkit', 'covid', 'number', 'hamba', 'mu', 'berjuang', 'kesakitan', 'hospital', 'repeated'];salam jumaat repeated ya allah menadah tangan keampunan mu berserah mu berilah kekuatan kesihatan repeated jauhilah penyakit berjangkit covid number hamba mu berjuang kesakitan hospital repeated;salam jumaat repeated ya allah tadah tangan ampun mu serah mu ilah kuat kesihatan repeated jauh sakit jangkit covid number hamba mu juang sakit hospital repeated
Saya kuatir test Covid-19 belum menyeluruh Tau2 nanti ada korban tergeletak mati suspek corona Ngeri;1.0;saya kuatir test covid number belum menyeluruh tau nanti ada korban tergeletak mati suspek corona ngeri;['kuatir', 'test', 'covid', 'number', 'tau', 'korban', 'tergeletak', 'mati', 'suspek', 'corona', 'ngeri'];kuatir test covid number tau korban tergeletak mati suspek corona ngeri;kuatir test covid number tau korban geletak mati suspek corona ngeri
Ada yang kek gue saking fokus sama berita soal covid hari ini siap siap kerja padahalan tanggal merah .yalord;0.0;ada yang kek gue saking fokus sama berita soal covid hari ini siap siap kerja padahalan tanggal merah yalord;['kek', 'gue', 'saking', 'fokus', 'berita', 'covid', 'kerja', 'padahalan', 'tanggal', 'merah', 'yalord'];kek gue saking fokus berita covid kerja padahalan tanggal merah yalord;kek gue saking fokus berita covid kerja padahal tanggal merah yalord
Berarti dah lama gak gitaran, mungkin mau bikin album lagu buat Corona Covid Yudhoyono.;-1.0;berarti dah lama gak gitaran mungkin mau bikin album lagu buat corona covid yudhoyono;['dah', 'gak', 'gitaran', 'bikin', 'album', 'lagu', 'corona', 'covid', 'yudhoyono'];dah gak gitaran bikin album lagu corona covid yudhoyono;dah gak gitar bikin album lagu corona covid yudhoyono
Berat Mbah, terlalu banyak kemungkinan  Sedang haid gak ndang mampet, Jualan online gak payu-payu, Lagi horny sing lanang mumet covid, Sudah masak enak dapat berkatan yg lebih enak, Sariawan,Loro untu,Keputihan,Murus ilate kecakot  Bengese anyar  Masker kerlisut Dst...;-1.0;berat mbah terlalu banyak kemungkinan sedang haid gak ndang mampet jualan online gak payu payu lagi horny sing lanang mumet covid sudah masak enak dapat berkatan yg lebih enak sariawan loro untu keputihan murus ilate kecakot bengese anyar masker kerlisut dst repeated;['berat', 'mbah', 'haid', 'gak', 'ndang', 'mampet', 'jualan', 'online', 'gak', 'payu', 'payu', 'horny', 'sing', 'lanang', 'mumet', 'covid', 'masak', 'enak', 'berkatan', 'yg', 'enak', 'sariawan', 'loro', 'untu', 'keputihan', 'murus', 'ilate', 'kecakot', 'bengese', 'anyar', 'masker', 'kerlisut', 'dst', 'repeated'];berat mbah haid gak ndang mampet jualan online gak payu payu horny sing lanang mumet covid masak enak berkatan yg enak sariawan loro untu keputihan murus ilate kecakot bengese anyar masker kerlisut dst repeated;berat mbah haid gak ndang mampet jual online gak payu payu horny sing lanang mumet covid masak enak berkat yg enak sariawan loro untu putih murus ilate kecakot bengese anyar masker kerlisut dst repeated
Amalkan langkah-langkah pencegahan penularan COVID-19 sebagai amalan dalam kehidupan seharian kita.;1.0;amalkan langkah langkah pencegahan penularan allcaps covid allcaps number sebagai amalan dalam kehidupan seharian kita;['amalkan', 'langkah', 'langkah', 'pencegahan', 'penularan', 'allcaps', 'covid', 'allcaps', 'number', 'amalan', 'kehidupan', 'seharian'];amalkan langkah langkah pencegahan penularan allcaps covid allcaps number amalan kehidupan seharian;amal langkah langkah cegah tular allcaps covid allcaps number amal hidup hari
Kementerian Agama Provinsi Papua Barat, Azis Hegemur mengatakan, Umat Islam di Provinsi Papua Barat diimbau agar tidak menolak pemakaman jenazah pasien positifcterjangkit Covid-19. OPM;1.0;kementerian agama provinsi papua barat azis hegemur mengatakan umat islam di provinsi papua barat diimbau agar tidak menolak pemakaman jenazah pasien positifcterjangkit covid number allcaps opm allcaps;['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'umat', 'islam', 'provinsi', 'papua', 'barat', 'diimbau', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positifcterjangkit', 'covid', 'number', 'allcaps', 'opm', 'allcaps'];kementerian agama provinsi papua barat azis hegemur umat islam provinsi papua barat diimbau menolak pemakaman jenazah pasien positifcterjangkit covid number allcaps opm allcaps;menteri agama provinsi papua barat azis hegemur umat islam provinsi papua barat imbau tolak makam jenazah pasien positifcterjangkit covid number allcaps opm allcaps
Bumi..Maafkan Kami..Yang Tak Pernah Sadar.. Bahwa Kau Juga Butuh Istirahat.. ;1.0;bumi repeated maafkan kami repeated yang tak pernah sadar repeated bahwa kau juga butuh istirahat repeated;['bumi', 'repeated', 'maafkan', 'repeated', 'sadar', 'repeated', 'kau', 'butuh', 'istirahat', 'repeated'];bumi repeated maafkan repeated sadar repeated kau butuh istirahat repeated;bumi repeated maaf repeated sadar repeated kau butuh istirahat repeated
Kalau ga ada covid, jam segini gue udah mulai pendakian dari pos Cangkuang;0.0;kalau ga ada covid jam segini gue udah mulai pendakian dari pos cangkuang;['ga', 'covid', 'jam', 'segini', 'gue', 'udah', 'pendakian', 'pos', 'cangkuang'];ga covid jam segini gue udah pendakian pos cangkuang;ga covid jam gin gue udah daki pos cangkuang
"Developers biang rusuh. Proyek konstruksi swasta termasuk yg dikecualikan untuk ""freeze"" dlm psbb dki oleh gub , pdhl dlm permenkes tdk termasuk yg dikecualikan. Juga, proyek-2 konstruksi besar berpotensi menjadi kluster penyebaran covid krn padat. Bijimane nih?";0.0;developers biang rusuh proyek konstruksi swasta termasuk yg dikecualikan untuk freeze dlm psbb dki oleh gub pdhl dlm permenkes tdk termasuk yg dikecualikan juga proyek number konstruksi besar berpotensi menjadi kluster penyebaran covid krn padat bijimane nih;['developers', 'biang', 'rusuh', 'proyek', 'konstruksi', 'swasta', 'yg', 'dikecualikan', 'freeze', 'dlm', 'psbb', 'dki', 'gub', 'pdhl', 'dlm', 'permenkes', 'tdk', 'yg', 'dikecualikan', 'proyek', 'number', 'konstruksi', 'berpotensi', 'kluster', 'penyebaran', 'covid', 'krn', 'padat', 'bijimane', 'nih'];developers biang rusuh proyek konstruksi swasta yg dikecualikan freeze dlm psbb dki gub pdhl dlm permenkes tdk yg dikecualikan proyek number konstruksi berpotensi kluster penyebaran covid krn padat bijimane nih;developers biang rusuh proyek konstruksi swasta yg kecuali freeze dlm psbb dki gub pdhl dlm permenkes tdk yg kecuali proyek number konstruksi potensi kluster sebar covid krn padat bijimane nih
